PC1	PC2	pop	color
1_CallSnps/1a_alignment/FINI_4.G102_Plate_1B-H08.bam	0.0162994009381109	0.0045577377844595	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_5.G102_Plate_1B-H11.bam	0.00913047919762405	-0.00605806945661008	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_6.G102_Plate_1B-H12.bam	0.0110478075164837	0.00103761967728464	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_7.G102_ChP_Plate_1-B05.bam	0.0137111790480257	-0.0116563573200113	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_7.G102_Plate_2-A02.bam	0.00315094946676276	-0.00341063554364799	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_8.G102_Plate_2-A03.bam	0.00394585093870254	0.000495465098344107	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_9.G102_Plate_2-A07.bam	0.0210230140009919	-0.00260470458808456	Pop1	#377EB8
1_CallSnps/1a_alignment/FINIBA_BAKARY_NTHI_SIDIBE.G102_Plate_1B-F09.bam	0.00269729629367197	0.0355832911739878	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBA_BOUREIMA_SIDIBE.G102_Plate_1B-F10.bam	0.00487014933989327	0.0288745477520177	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBA_DE_GARALO.G102_Plate_2-E04.bam	-0.00899862190237772	0.0179726503699058	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBA_DE_ISSA_SIDIBE.G102_Plate_1B-G01.bam	-0.00203258855923274	0.0230322044762312	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBA_DE_KEBILA.G102_Plate_2-D05.bam	-0.0142642065390155	0.0274852468914253	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBA_DE_SIMZINBA.G102_Plate_2-F05.bam	0.000121300134880386	0.0171669614794186	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBA_MADOU_SIDIBE.G102_Plate_1B-F11.bam	0.00381801194933014	0.0305444687446945	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBA_SALIF_SIDIBE.G102_Plate_1B-F12.bam	0.00919323511829282	0.0340621370589623	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBE_DE_DRAMANE_SIDIBE.G102_ChP_Plate_1-A12.bam	0.00751625767706592	0.024877904368967	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBE_DE_DRAMANE_SIDIBE.G102_Plate_1B-G02.bam	-0.00226232763717256	0.0233164409589651	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEMI_ALAMISSA_DAO.G102_Plate_1B-G07.bam	-0.000553457599810901	0.0261856226280151	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEMI_BASSIRA_TOGOLA.G102_Plate_1B-G08.bam	0.00467575714024345	0.0228239713597299	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEMI_CHAKA_SIDIBE.G102_Plate_1B-G03.bam	0.00895793946787756	0.0442066130957418	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEMI_DE_SEIBA_DIARRA.G102_ChP_Plate_1-B01.bam	0.00206056941243333	0.0245193035332522	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEMI_DE_SEIBA_DIARRA.G102_Plate_1B-G05.bam	0.00985964411701237	0.0203367037074241	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEMI_FARAKO.G102_Plate_1B-G11.bam	-0.00599061733653495	0.0257756297240569	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEMI_GNE_MARIKO.G102_Plate_1B-G06.bam	0.00593401953281624	0.0302401086151895	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEMI_KEBILA.G102_Plate_1B-H07.bam	0.00177368655661794	0.0349353115276406	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEMI_NIANGOURA_TOGOLA.G102_Plate_1B-G04.bam	0.0126359994649309	0.0502043829494388	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINIBLEN_DE_KISSA.G102_Plate_2-B02.bam	-0.00185035431462807	0.035706372026757	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINI_BRAMA_DIARRA.G102_Plate_1B-F07.bam	0.00901768246839443	0.0257795078680663	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINI_DE_MADIAMA.G102_Plate_2-D12.bam	0.0254769005333845	-0.0123916477232576	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_DIABOUGOU.G102_Plate_2-H02.bam	0.0142898869272225	-0.00349230881577088	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_DIOUMA.G102_Plate_2-A11.bam	0.00591576642339042	-0.00595122061198944	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_DIOUNA_1.G102_ChP_Plate_1-C05.bam	0.0147642223825529	-0.0116037680201273	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_DIOUNA_1.G102_Plate_2-G05.bam	0.00999477674585554	-0.0156323956609464	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_DIOUNA_2.G102_Plate_2-G10.bam	0.016562341044312	-0.0102010063703133	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_KAMBA_1.G102_Plate_2-B03.bam	0.00635640250173393	-0.00348011191194902	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_KAMBA_2.G102_Plate_2-G09.bam	0.00969312725635738	-0.00693521329496352	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_KOLONKA.G102_Plate_2-G11.bam	0.0203592045492102	-0.0137466960283329	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_KOUSSANA.G102_Plate_2-G04.bam	0.00686582468913807	-0.00683779710971095	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_KOUSSINA.G102_Plate_2-B01.bam	0.00766136540350426	-0.00447477707719696	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_LASSINO_DOUMBIA.G102_Plate_1B-F04.bam	-0.000942859820818146	0.028246002896965	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINI_MADOU_DOUMBIA.G102_Plate_1B-F05.bam	0.0010226603282527	0.0258384782800205	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINI_MANE_1.G102_Plate_2-C02.bam	0.0169563794824102	-0.00784844410549485	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_MANE_2.G102_Plate_2-G08.bam	0.0200541783409149	-0.0206367559714029	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_SALIF_MARIKO.G102_Plate_1B-F03.bam	0.0147224466206971	0.0097906969043146	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_SOLOSSE.G102_Plate_2-A04.bam	0.00664386557921927	-0.0100368587252694	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_SOLOSSO.G102_Plate_2-G07.bam	0.0165129980906045	-0.0117895954902969	Pop1	#377EB8
1_CallSnps/1a_alignment/FINI_SOUMAILA_DIARRA.G102_ChP_Plate_1-A11.bam	0.00496604447640603	0.0318816570420901	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINI_SOUMAILA_DIARRA.G102_Plate_1B-F06.bam	0.0105267937732387	0.0244593535176942	Pop2	#E41A1C
1_CallSnps/1a_alignment/FINI_WINTIGUIBOUGOU.G102_Plate_2-G06.bam	0.00727608004895818	-0.00962737164571397	Pop1	#377EB8
1_CallSnps/1a_alignment/FINNI_1.G102_Plate_2-A06.bam	0.0247605518279115	-0.0141471692682008	Pop1	#377EB8
1_CallSnps/1a_alignment/FINNI_2.G102_Plate_2-F09.bam	0.0241196081078244	-0.0139729984714075	Pop1	#377EB8
1_CallSnps/1a_alignment/FINNI_KOLONKA.G102_Plate_1B-H05.bam	0.0217644808405197	-0.0078516503453049	Pop1	#377EB8
1_CallSnps/1a_alignment/FOGNI_SEREBE.G102_Plate_2-G03.bam	0.0148840315898975	-0.0160026530890896	Pop1	#377EB8
1_CallSnps/1a_alignment/FONI_SEREBE.G102_Plate_2-B08.bam	0.0158170996706369	-0.00842734322085782	Pop1	#377EB8
1_CallSnps/1a_alignment/FONI_SEREBE_MABERE.G102_ChP_Plate_1-C06.bam	0.0327873222322143	-0.0109831365177256	Pop1	#377EB8
1_CallSnps/1a_alignment/FONI_SEREBE_MABERE.G102_Plate_2-H04.bam	0.0100324112036035	-0.00491439851280802	Pop1	#377EB8
1_CallSnps/1a_alignment/FONNI.G102_Plate_2-B06.bam	0.0226390698954384	-0.0165224158215276	Pop1	#377EB8
1_CallSnps/1a_alignment/GNEGNELO_1.G102_ChP_Plate_1-A10.bam	0.00106911663318219	0.0454762393001354	Pop2	#E41A1C
1_CallSnps/1a_alignment/GNEGNELO_1.G102_Plate_1B-F01.bam	0.00729152037189884	0.0436404437538262	Pop2	#E41A1C
1_CallSnps/1a_alignment/GNEGNELO_2.G102_Plate_1B-F02.bam	-0.00289179166000151	0.0357932899594333	Pop2	#E41A1C
1_CallSnps/1a_alignment/GNEGNENI.G102_Plate_1B-E08.bam	-0.00975917338338867	0.0311865291123296	Pop2	#E41A1C
1_CallSnps/1a_alignment/GNEGNENOU.G102_Plate_1B-E07.bam	-0.00142699129607868	0.0285181720853544	Pop2	#E41A1C
1_CallSnps/1a_alignment/HON_ON_1.G102_Plate_1B-H09.bam	0.0329469275166559	-0.0112990727490823	Pop1	#377EB8
1_CallSnps/1a_alignment/HON_ON_2.G102_Plate_2-A08.bam	0.015976647512146	-0.00627781866673372	Pop1	#377EB8
1_CallSnps/1a_alignment/HON_ON_3.G102_Plate_2-A09.bam	0.0176328629982447	-0.0169479955131175	Pop1	#377EB8
1_CallSnps/1a_alignment/HON_ON_4.G102_Plate_2-B09.bam	0.0164940272959862	-0.0121347836323447	Pop1	#377EB8
1_CallSnps/1a_alignment/HON_ON_5.G102_Plate_2-D08.bam	0.0179653454534378	-0.0106862620634521	Pop1	#377EB8
1_CallSnps/1a_alignment/HON_ON_6.G102_Plate_2-E08.bam	0.0199431167302136	-0.0177525454242149	Pop1	#377EB8
1_CallSnps/1a_alignment/HON_ON_7.G102_Plate_2-F02.bam	0.0239642631508634	-0.0115003710613675	Pop1	#377EB8
1_CallSnps/1a_alignment/ISC_NIGER_01.G102_Plate_1A-A01.bam	-0.035675556379787	-0.00917906509150721	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_02.G102_Plate_1A-A02.bam	-0.0338448853837202	-0.00482455319184265	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_03.G102_Plate_1A-A03.bam	-0.0337355643299349	-0.00529558944503009	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_04.G102_Plate_1A-A04.bam	-0.0324267933246515	-0.00717770172521169	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_05.G102_Plate_1A-A05.bam	-0.0390203284254331	-0.0191198771504115	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_06.G102_Plate_1A-A06.bam	-0.0316301937717631	-0.0148977829910307	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_07.G102_Plate_1A-A07.bam	-0.031922559301714	-0.00899198085485898	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_08.G102_Plate_1A-A08.bam	-0.0327484291300392	-0.0168667225439699	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_09.G102_Plate_1A-A09.bam	-0.0394113799615225	-0.0080877916743995	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_10.G102_ChP_Plate_1-A01.bam	-0.0375202940419242	-0.0201091400604786	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_10.G102_Plate_1A-A10.bam	-0.0265150133473134	-0.00809676194460457	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_11.G102_Plate_1A-A11.bam	-0.0334989456355803	-0.0116043583278297	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_12.G102_ChP_Plate_1-A02.bam	-0.0298114968000598	-0.00745786953368976	Pop3	#4DAF4A
1_CallSnps/1a_alignment/ISC_NIGER_12.G102_Plate_1A-A12.bam	-0.0273380797119015	0.000845130100116577	Pop3	#4DAF4A
